,star,identifier,r shifted wl,r unshifted wl,r heights,r AMD heights,rounded r shifted wl,observation time,rounded r unshifted wl,best_mean_chi_squared
0,HIP14286,HIP14286_3,5004.504441423552,5004.504441423552,0.1325766339936747,6.454436939556877,5004.5,2018-11-05T08:02:23.48,5004.5,1.7
1,HIP14286,HIP14286_2,5004.504441423552,5004.385866313039,0.1338500418288922,6.4923816403775065,5004.5,2018-11-05T08:08:28.93,5004.38,1.66
2,HIP14286,HIP14286_1,5004.504441423552,5004.487501778025,0.1291806753778566,6.790104510204049,5004.5,2018-11-05T07:56:10.17,5004.48,1.63
3,HIP68030,HIP68030_2,5014.195018400606,5013.609535370294,0.1089207874822552,6.402652151726192,5014.2,2017-05-14T06:36:48.60,5013.6,1.84
4,HIP68030,HIP68030_0,5014.195018400606,5014.195018400606,0.1104372754768088,6.167015557194292,5014.2,2017-05-14T06:29:09.62,5014.2,1.81
5,HIP68030,HIP68030_1,5014.195018400606,5013.906502427684,0.1071124265209144,6.721231922326046,5014.2,2017-05-14T06:21:30.41,5013.9,1.69
6,HIP68030,HIP68030_0,5110.3347891,5110.3347891,0.1227616087274705,6.454940272375252,5110.34,2017-05-14T06:29:09.62,5110.34,1.81
7,HIP68030,HIP68030_2,5110.3347891,5109.738080298836,0.1167812727084795,6.304793752036443,5110.34,2017-05-14T06:36:48.60,5109.74,1.84
8,HIP68030,HIP68030_1,5110.3347891,5110.0407412601735,0.1214418120990272,7.228144283868564,5110.34,2017-05-14T06:21:30.41,5110.04,1.69
9,HIP73695,HIP73695_1,5188.769349720676,5187.557756750017,0.1472630685833861,6.776248976089209,5188.76,2018-05-22T05:25:27.21,5187.56,4.05
10,HIP73695,HIP73695_0,5188.769349720676,5188.769349720676,0.1477951176572151,6.711367158511095,5188.76,2018-05-22T05:24:02.89,5188.76,4.01
11,HIP73695,HIP73695_3,5188.769349720676,5188.769349720676,0.1546990945271517,6.754371899680554,5188.76,2018-05-22T05:26:49.82,5188.76,4.0
12,HIP14576,HIP14576_3,5205.490459467761,5205.490459467761,0.0077600582524627,6.819795843892105,5205.5,2018-11-05T09:41:25.95,5205.5,5.79
13,HIP14576,HIP14576_2,5205.490459467761,5205.208554436648,0.0112733147172337,7.005037779880648,5205.5,2018-11-05T09:43:24.90,5205.2,5.8
14,HIP14576,HIP14576_1,5205.490459467761,5205.402360865471,0.011125860129501,6.722608488878729,5205.5,2018-11-05T09:42:25.76,5205.4,5.78
15,HIP77760,HIP77760_14,5232.839423912369,5232.839423912369,0.0557466329356444,6.694760318782421,5232.84,2018-06-06T07:12:48.17,5232.84,1.53
16,HIP77760,HIP77760_13,5232.839423912369,5232.839423912369,0.1320576151649671,7.016529439137661,5232.84,2018-06-06T07:11:33.71,5232.84,1.49
